unique_id,year,team,games,o_pts_pg,o_ty_pg,o_py,o_ry,o_fd_g,o_3rdm,o_3rdpct,o_4thm,o_4thpct,o_pen,o_penyds,o_top,d_pts_pg,d_ty_pg,d_py,d_ry,d_int,d_inttd,stp_n,stp_avg,str_pr,str_pr_yds,str_pr_avg,str_kr,str_kr_yds,str_kr_avg
2011_Clemson,2011,Clemson,13,33.6,440.6,284.7692308,155.8461538,22.4,91,44.6,7,41.2,4.307692308,38.23076923,0.524358974,26.2,379.4,202.9230769,176.4615385,1,0.076923077,4.692307692,41.7,1,7,7,4.076923077,93.46153846,22.9
2011_Texas Tech,2011,Texas Tech,12,33.8,470.6,345.4166667,125.1666667,26.2,92,48.2,9,45,7.666666667,64.83333333,0.673611111,39.3,485.6,226.75,258.8333333,0.416666667,0,4.75,41.7,1.25,7.583333333,6.1,4.916666667,108.25,22
2011_Penn St.,2011,Penn St.,12,19.8,344.8,180.3333333,164.4166667,18.7,64,36.8,10,58.8,4.916666667,42.5,1.513888889,15.7,300.9,162.1666667,138.75,1.166666667,0,5.25,41.6,3.083333333,22.5,7.3,3.083333333,72,23.4
2011_West. Kentucky,2011,West. Kentucky,12,22.9,348.9,167.3333333,181.5833333,18.2,81,43.3,6,40,7.416666667,62.25,1.193055556,24.8,373.8,239.4166667,134.3333333,1.083333333,0,5.333333333,41.6,1.916666667,10.83333333,5.7,4.5,117.4166667,26.1
2011_W. Michigan,2011,W. Michigan,12,35.6,456.3,328.8333333,127.4166667,24.2,67,42.7,17,77.3,7.416666667,58.5,0.676388889,28,434.1,218.1666667,215.9166667,1,0.083333333,3.5,41.3,1.833333333,18.25,10,4.833333333,109.75,22.7
2011_UCF,2011,UCF,12,27.1,406.8,238,168.75,21,70,44.6,10,47.6,5.666666667,48.91666667,1.568055556,18.3,303.3,194.5,108.8333333,0.75,0.083333333,3.5,41.2,2,16.75,8.4,3.583333333,96,26.8
2011_UNLV,2011,UNLV,12,17.3,273.8,109.5833333,164.25,15.1,49,28.3,12,46.2,6.666666667,61.16666667,1.166666667,40.4,443.2,249,194.1666667,0.583333333,0,6.25,41.2,1.083333333,5.25,4.8,5.916666667,140.4166667,23.7
2011_Oklahoma,2011,Oklahoma,12,40.3,532.1,365.0833333,167,26.8,76,42,8,61.5,4.833333333,45.58333333,1.243055556,22.8,383.2,243.5833333,139.5833333,1.083333333,0.083333333,4.75,41.2,2.083333333,19.25,9.2,3.166666667,64.83333333,20.5
2011_Connecticut,2011,Connecticut,12,24.3,313.2,194.6666667,118.5,17.3,49,28.5,4,40,5.25,41.83333333,0.738888889,24.3,366.7,281,85.66666667,1.5,0.083333333,6.666666667,41.1,1.916666667,11,5.7,3.583333333,86.58333333,24.2
2011_Texas A&M,2011,Texas A&M,12,39.6,497,287.9166667,209.0833333,26.9,81,45.8,2,20,7,65.66666667,0.822222222,28.7,386.5,280.5,106,0.583333333,0,4.166666667,41.1,2.333333333,31.75,13.6,3.25,69.33333333,21.3
